"Skill Points", "Global Power", "True Colors", "Leech", "Traps", "Critical Hit", "Resonance", "Amps"
5000,           5.480e14,       72,            51,      34,      18,             14,          18
10000,          8.858e16,       99,            75,      46,      30,             23,          27
15000,          2.505e18,       120,           90,      61,      36,             24,          39
20000,          3.200e19,       138,           102,     69,      45,             32,          48
25000,          2.508e20,       150,           117,     79,      51,             35,          57
30000,          1.439e21,       168,           126,     86,      54,             38,          60
