"Skill Points", "Global Power", "True Colors", "Leech", "Traps", "Critical Hit", "Resonance", "Amps"
5000,           6.646e7,        57,            57,      36,      33,             21,          21
10000,          9.779e8,        78,            78,      53,      48,             33,          36
15000,          5.857e9,        96,            96,      62,      57,             42,          48
20000,          2.296e10,       108,           111,     73,      69,             47,          57
25000,          6.990e10,       123,           123,     81,      72,             52,          69
30000,          1.804e11,       132,           135,     88,      81,             62,          75
